id,titulo_producto,marca,precio_actual,porcentaje_descuento,precio_antiguo,url_imagen,url_producto
1,Tognana Vajilla de porcelana de 18 piezas,Tognana,32.99,23,42.84,https://www.lidl.es/assets/gcp594ebfed74964059879fb67eb2d0832c.jpg,https://www.lidl.es/p/tognana-vajilla-de-porcelana-de-18-piezas/p100390221#searchTrackingMasterId=Product.100390221&searchTrackingTitle=Tognana%2BVajilla%2Bde%2Bporcelana%2Bde%2B18%2Bpiezas&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390221&searchTrackingOrigPos=1&searchTrackingPos=1&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
2,Safety 1st Barrera a presión Quick Close+,Safety 1st,22.99,14,26.73,https://www.lidl.es/assets/gcp90c1838e517b453bb3b5e353c4e609ea.jpeg,https://www.lidl.es/p/safety-1st-barrera-a-presion-quick-close/p100370310#searchTrackingMasterId=Product.100370310&searchTrackingTitle=Safety%2B1st%2BBarrera%2Ba%2Bpresi%25C3%25B3n%2BQuick%2BClose%252B&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100370310&searchTrackingOrigPos=1&searchTrackingPos=2&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
3,Hot Wheels Vehículos pack 5,Hot Wheels,5.99,47,11.30,https://www.lidl.es/assets/gcp1ec15fc2c1e244579311290f342570a8.jpg,https://www.lidl.es/p/hot-wheels-vehiculos-pack-5/p100381791#searchTrackingMasterId=Product.100381791&searchTrackingTitle=Hot%2BWheels%2BVeh%25C3%25ADculos%2Bpack%2B5&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100381791&searchTrackingOrigPos=1&searchTrackingPos=3&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
4,Pijama corto para hombre,esmara Men,4.99,16,5.94,https://www.lidl.es/assets/gcpb244a3d6b0d3486ca449153637179e4c.jpg,https://www.lidl.es/p/esmara-men-pijama-corto-para-hombre/p100390396#searchTrackingMasterId=Product.100390396&searchTrackingTitle=Pijama%2Bcorto%2Bpara%2Bhombre&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100390396&searchTrackingOrigPos=1&searchTrackingPos=4&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
5,Philips Plancha de vapor 2000 W,PHILIPS,14.99,25,19.99,https://www.lidl.es/assets/gcp8c1f6ec3facf4dbbbcc9285ceac5dc28.jpg,https://www.lidl.es/p/philips-plancha-de-vapor-2000-w/p100361680#searchTrackingMasterId=Product.100361680&searchTrackingTitle=Philips%2BPlancha%2Bde%2Bvapor%2B2000%2BW&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100361680&searchTrackingOrigPos=1&searchTrackingPos=5&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
6,Tabla de equilibrio/ Pelota de gimnasia/ Set de bandas de fitness (tabla de equilibrio),CRIVIT,3.49,50,6.98,https://www.lidl.es/assets/gcp35605554d2774b27a52e993fa5d84104.jpg,https://www.lidl.es/p/crivit-tabla-de-equilibrio-pelota-de-gimnasia-set-de-bandas-de-fitness/p100384052001#searchTrackingMasterId=Product.100384052001&searchTrackingTitle=CRIVIT%2BTabla%2Bde%2Bequilibrio%252F%2BPelota%2Bde%2Bgimnasia%252F%2BSet%2Bde%2Bbandas%2Bde%2Bfitness%2B%2528tabla%2Bde%2Bequilibrio%2529&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100384052001&searchTrackingOrigPos=1&searchTrackingPos=6&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
7,Calcetines deportivos,CRIVIT,2.49,16,2.96,https://www.lidl.es/assets/gcp10acd032a83745a082ebfef039659635.jpg,https://www.lidl.es/p/crivit-calcetines-deportivos/p100389504#searchTrackingMasterId=Product.100389504&searchTrackingTitle=Calcetines%2Bdeportivos&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389504&searchTrackingOrigPos=1&searchTrackingPos=7&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
8,Bloque de papel / cartulina de colores,crelando®,2.39,20,2.99,https://www.lidl.es/assets/gcpc24ba53ae3f8482f87b7ecef86ec3fd8.jpg,https://www.lidl.es/p/crelando-bloque-de-papel-cartulina-de-colores/p100389764#searchTrackingMasterId=Product.100389764&searchTrackingTitle=Bloque%2Bde%2Bpapel%2B%252F%2Bcartulina%2Bde%2Bcolores&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100389764&searchTrackingOrigPos=1&searchTrackingPos=8&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
9,Camiseta técnica para hombre,CRIVIT,2.99,25,3.99,https://www.lidl.es/assets/gcpd45536ec392e4d3f8265914ccfa8acc1.jpg,https://www.lidl.es/p/crivit-camiseta-tecnica-para-hombre/p100391825#searchTrackingMasterId=Product.100391825&searchTrackingTitle=Camiseta%2Bt%25C3%25A9cnica%2Bpara%2Bhombre&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100391825&searchTrackingOrigPos=1&searchTrackingPos=45&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
10,Bestway® Piscina Steel Pro Ø 366 cm,Bestway,134.99,41,228.80,https://www.lidl.es/assets/gcp8b418e1f6f414713ad31ba9a720f5ea5.jpg,https://www.lidl.es/p/bestway-piscina-steel-pro-o-366-cm/p100363729#searchTrackingMasterId=Product.100363729&searchTrackingTitle=Bestway%25C2%25AE%2BPiscina%2BSteel%2BPro%2B%25C3%2598%2B366%2Bcm&searchTrackingPageSize=48&searchTrackingPage=1&searchTrackingEvent=click&searchTrackingId=Product.100363729&searchTrackingOrigPos=1&searchTrackingPos=46&searchTrackingOrigPageSize=48&searchTrackingChannel=ES&list=search
